Index	xSource	ySource	xTarget	yTarget
    0	     76	    281	     83	    269
    1	    145	    287	    145	    269
    2	    216	    281	    208	    269
    3	    283	    214	    270	    207
    4	    226	    225	    207	    206
    5	    146	    233	    146	    207
    6	     65	    225	     83	    207
    7	      7	    214	     21	    206
    8	    287	    146	    269	    144
    9	    233	    145	    208	    144
   10	    145	    146	    146	    144
   11	     57	    144	     83	    144
   12	      2	    145	     21	    144
   13	      8	     76	     22	     82
   14	     66	     65	     83	     82
   15	    145	     57	    146	     82
   16	    226	     65	    208	     82
   17	    283	     76	    270	     82
   18	    215	      8	    208	     20
   19	    146	      2	    145	     20
   20	     77	      7	     83	     20
